strategy_name,strategy_type,symbol,horizon,horizon_days,total_return,sharpe_ratio,max_drawdown,win_rate,total_trades,profit_factor,final_capital,symbols,num_assets,buyhold_return,outperformance,beat_buyhold
BlackLitterman,multi_pair,Portfolio[2 assets],30d,30,-0.07995056235386765,-2.2527946435913955,0.16404943668608016,0.5042134831460674,0,0.0,9200.494376461324,"BTC/USDT, ETH/USDT",2.0,-0.03172261238795142,-0.04822794996591623,False
BlackLitterman,multi_pair,Portfolio[3 assets],30d,30,0.025722729644184802,0.9055617761322985,0.1676757925412603,0.5140449438202247,0,0.0,10257.227296441848,"BTC/USDT, ETH/USDT, BNB/USDT",3.0,-0.03172261238795142,0.05744534203213622,True
BlackLitterman,multi_pair,Portfolio[2 assets],90d,90,0.10593020127421987,1.1368433857182767,0.16451509338558998,0.5153345724907064,0,0.0,11059.302012742199,"BTC/USDT, ETH/USDT",2.0,-0.06572224413093859,0.17165244540515845,True
BlackLitterman,multi_pair,Portfolio[3 assets],90d,90,0.2585535046530833,2.302056749881936,0.16836482833440758,0.5283457249070632,0,0.0,12585.535046530833,"BTC/USDT, ETH/USDT, BNB/USDT",3.0,-0.06572224413093859,0.3242757487840219,True
BlackLitterman,multi_pair,Portfolio[2 assets],180d,180,0.7885483490356957,2.776801829047882,0.17277855098588005,0.5173933209647495,0,0.0,17885.483490356957,"BTC/USDT, ETH/USDT",2.0,0.30865427637442866,0.47989407266126705,True
BlackLitterman,multi_pair,Portfolio[3 assets],180d,180,0.8466866484839869,3.110611855517197,0.16803492586141508,0.5227272727272727,0,0.0,18466.86648483987,"BTC/USDT, ETH/USDT, BNB/USDT",3.0,0.30865427637442866,0.5380323721095582,True
BollingerBreakout,single_pair,BTC/USDT,30d,30,0.005182395261700549,0.4203129819554057,0.05220881422317336,0.2857142857142857,7,1.0704299003887592,10051.823952617005,,,-0.03172261238795142,0.03690500764965197,True
BollingerBreakout,single_pair,BTC/USDT,90d,90,-0.13807884379360638,-2.8164618538564876,0.19084816534720672,0.2608695652173913,23,0.43702313386483244,8619.211562063936,,,-0.06572224413093859,-0.07235659966266779,False
BollingerBreakout,single_pair,BTC/USDT,180d,180,-0.0598272509921042,-0.4274918714574149,0.22830090280614523,0.30434782608695654,46,0.8740599455182331,9401.727490078958,,,0.30865427637442866,-0.36848152736653284,False
CopulaPairsTrading,multi_pair,Portfolio[2 assets],30d,30,-0.13104114171946385,-11.579187462938348,0.13147589870205775,0.16853932584269662,0,0.0,8689.588582805362,"BTC/USDT, ETH/USDT",2.0,-0.03172261238795142,-0.09931852933151243,False
CopulaPairsTrading,multi_pair,Portfolio[3 assets],30d,30,-0.13104114171946385,-11.579187462938348,0.13147589870205775,0.16853932584269662,0,0.0,8689.588582805362,"BTC/USDT, ETH/USDT, BNB/USDT",3.0,-0.03172261238795142,-0.09931852933151243,False
CopulaPairsTrading,multi_pair,Portfolio[2 assets],90d,90,-0.155038804463423,-4.4679861336065585,0.17681129415263333,0.21933085501858737,0,0.0,8449.61195536577,"BTC/USDT, ETH/USDT",2.0,-0.06572224413093859,-0.0893165603324844,False
CopulaPairsTrading,multi_pair,Portfolio[3 assets],90d,90,-0.155038804463423,-4.4679861336065585,0.17681129415263333,0.21933085501858737,0,0.0,8449.61195536577,"BTC/USDT, ETH/USDT, BNB/USDT",3.0,-0.06572224413093859,-0.0893165603324844,False
CopulaPairsTrading,multi_pair,Portfolio[2 assets],180d,180,-0.3137987136581473,-4.5126891058828855,0.329143829720953,0.21150278293135436,0,0.0,6862.012863418527,"BTC/USDT, ETH/USDT",2.0,0.30865427637442866,-0.6224529900325759,False
CopulaPairsTrading,multi_pair,Portfolio[3 assets],180d,180,-0.3137987136581473,-4.5126891058828855,0.329143829720953,0.21150278293135436,0,0.0,6862.012863418527,"BTC/USDT, ETH/USDT, BNB/USDT",3.0,0.30865427637442866,-0.6224529900325759,False
DeepRLPortfolio,multi_pair,Portfolio[2 assets],30d,30,0.002853385429522132,0.26935487950598286,0.12447417303281308,0.5028089887640449,0,0.0,10028.533854295221,"BTC/USDT, ETH/USDT",2.0,-0.03172261238795142,0.03457599781747355,True
DeepRLPortfolio,multi_pair,Portfolio[3 assets],30d,30,-0.04079353032972849,-1.288958018333002,0.14690933349497998,0.5154494382022472,0,0.0,9592.064696702715,"BTC/USDT, ETH/USDT, BNB/USDT",3.0,-0.03172261238795142,-0.00907091794177707,False
DeepRLPortfolio,multi_pair,Portfolio[2 assets],90d,90,0.01680690200020217,0.3709191744965305,0.1325519394105924,0.5037174721189591,0,0.0,10168.069020002022,"BTC/USDT, ETH/USDT",2.0,-0.06572224413093859,0.08252914613114076,True
DeepRLPortfolio,multi_pair,Portfolio[3 assets],90d,90,0.062338839096176164,0.9057343108510226,0.14190638208590223,0.5176579925650557,0,0.0,10623.388390961762,"BTC/USDT, ETH/USDT, BNB/USDT",3.0,-0.06572224413093859,0.12806108322711476,True
DeepRLPortfolio,multi_pair,Portfolio[2 assets],180d,180,0.31442080641503745,1.8200789508201163,0.1324973899883058,0.5053339517625232,0,0.0,13144.208064150374,"BTC/USDT, ETH/USDT",2.0,0.30865427637442866,0.005766530040608786,True
DeepRLPortfolio,multi_pair,Portfolio[3 assets],180d,180,0.26862905770983925,1.6764417798797384,0.14324610257770898,0.5204081632653061,0,0.0,12686.290577098393,"BTC/USDT, ETH/USDT, BNB/USDT",3.0,0.30865427637442866,-0.04002521866458941,False
HierarchicalRiskParity,multi_pair,Portfolio[2 assets],30d,30,-0.04560500418084248,-1.4174660221142845,0.14730686120850814,0.5070224719101124,0,0.0,9543.949958191575,"BTC/USDT, ETH/USDT",2.0,-0.03172261238795142,-0.01388239179289106,False
HierarchicalRiskParity,multi_pair,Portfolio[3 assets],30d,30,0.007250404881336908,0.4221147430862268,0.15353478755718922,0.5126404494382022,0,0.0,10072.504048813369,"BTC/USDT, ETH/USDT, BNB/USDT",3.0,-0.03172261238795142,0.038973017269288326,True
HierarchicalRiskParity,multi_pair,Portfolio[2 assets],90d,90,0.043989719844803765,0.6616062660021689,0.14631239968711787,0.5144052044609665,0,0.0,10439.897198448038,"BTC/USDT, ETH/USDT",2.0,-0.06572224413093859,0.10971196397574236,True
HierarchicalRiskParity,multi_pair,Portfolio[3 assets],90d,90,0.1497882359951387,1.7148217442103473,0.14805226669951796,0.5176579925650557,0,0.0,11497.882359951387,"BTC/USDT, ETH/USDT, BNB/USDT",3.0,-0.06572224413093859,0.21551048012607732,True
HierarchicalRiskParity,multi_pair,Portfolio[2 assets],180d,180,0.49853893606546645,2.3547357169248606,0.14607077771470808,0.5141465677179963,0,0.0,14985.389360654664,"BTC/USDT, ETH/USDT",2.0,0.30865427637442866,0.1898846596910378,True
HierarchicalRiskParity,multi_pair,Portfolio[3 assets],180d,180,0.4167989115477314,2.197402040603922,0.14971027033615994,0.5222634508348795,0,0.0,14167.989115477314,"BTC/USDT, ETH/USDT, BNB/USDT",3.0,0.30865427637442866,0.10814463517330275,True
Ichimoku_Cloud,single_pair,BTC/USDT,30d,30,-0.04300795614087037,-1.658741723550218,0.1182737086303236,0.0,1,0.0,9569.920438591296,,,-0.03172261238795142,-0.011285343752918953,False
Ichimoku_Cloud,single_pair,BTC/USDT,90d,90,-0.06781442694725393,-0.8138202215532785,0.12632488229727545,0.0,1,0.0,9321.85573052746,,,-0.06572224413093859,-0.0020921828163153328,False
Ichimoku_Cloud,single_pair,BTC/USDT,180d,180,0.2939198428322106,1.8109749193693847,0.12812374153152206,1.0,1,0.0,12939.198428322106,,,0.30865427637442866,-0.01473443354221804,False
MACD_Momentum,single_pair,BTC/USDT,30d,30,-0.09733806262070376,-6.329389096168726,0.09733806262070288,0.2692307692307692,26,0.3955906114263855,9026.619373792963,,,-0.03172261238795142,-0.06561545023275234,False
MACD_Momentum,single_pair,BTC/USDT,90d,90,-0.30581190147699083,-6.846266349079704,0.30663268505071417,0.23529411764705882,85,0.2961260874490411,6941.880985230092,,,-0.06572224413093859,-0.24008965734605225,False
MACD_Momentum,single_pair,BTC/USDT,180d,180,-0.36513296240167703,-3.9515617984796276,0.412052968713187,0.2634730538922156,167,0.5686020104149492,6348.67037598323,,,0.30865427637442866,-0.6737872387761057,False
PortfolioRebalancer,multi_pair,Portfolio[2 assets],30d,30,-0.07750117882159356,-2.2030078350275035,0.16247969555433103,0.5042134831460674,0,0.0,9224.988211784064,"BTC/USDT, ETH/USDT",2.0,-0.03172261238795142,-0.04577856643364214,False
PortfolioRebalancer,multi_pair,Portfolio[3 assets],30d,30,0.033344830638243,1.086791180822259,0.16870567385949137,0.5168539325842697,0,0.0,10333.44830638243,"BTC/USDT, ETH/USDT, BNB/USDT",3.0,-0.03172261238795142,0.06506744302619441,True
PortfolioRebalancer,multi_pair,Portfolio[2 assets],90d,90,0.13031370349652807,1.3241890185950869,0.1629699518574619,0.5116171003717472,1,0.0,11303.13703496528,"BTC/USDT, ETH/USDT",2.0,-0.06572224413093859,0.19603594762746668,True
PortfolioRebalancer,multi_pair,Portfolio[3 assets],90d,90,0.2948008436880721,2.4917965610740214,0.16793004126106312,0.5315985130111525,1,0.0,12948.008436880718,"BTC/USDT, ETH/USDT, BNB/USDT",3.0,-0.06572224413093859,0.36052308781901066,True
PortfolioRebalancer,multi_pair,Portfolio[2 assets],180d,180,0.8112820584797424,2.759589305562963,0.18068890016314978,0.5169294990723562,1,0.0,18112.820584797424,"BTC/USDT, ETH/USDT",2.0,0.30865427637442866,0.5026277821053138,True
PortfolioRebalancer,multi_pair,Portfolio[3 assets],180d,180,0.9153077719609842,3.1982377196418232,0.16724408608105315,0.525974025974026,2,0.0,19153.07771960984,"BTC/USDT, ETH/USDT, BNB/USDT",3.0,0.30865427637442866,0.6066534955865556,True
RSI_MeanReversion,single_pair,BTC/USDT,30d,30,-0.128344350141201,-7.280534181151532,0.13402811025618433,0.0,2,0.0,8716.55649858799,,,-0.03172261238795142,-0.09662173775324957,False
RSI_MeanReversion,single_pair,BTC/USDT,90d,90,-0.14336687309083682,-2.4003380184183434,0.1687545833520394,0.16666666666666666,6,0.08228872586369836,8566.331269091632,,,-0.06572224413093859,-0.07764462895989822,False
RSI_MeanReversion,single_pair,BTC/USDT,180d,180,-0.023086441052573355,-0.10180372971470647,0.16875458335203652,0.5333333333333333,15,0.8864811273421676,9769.135589474266,,,0.30865427637442866,-0.331740717427002,False
RiskParity,multi_pair,Portfolio[2 assets],30d,30,-0.07543657204529645,-2.1253924743633323,0.1614280336100271,0.5056179775280899,0,0.0,9245.634279547035,"BTC/USDT, ETH/USDT",2.0,-0.03172261238795142,-0.043713959657345036,False
RiskParity,multi_pair,Portfolio[3 assets],30d,30,0.021666720473239184,0.8017951697355798,0.1669840049188581,0.5182584269662921,0,0.0,10216.667204732392,"BTC/USDT, ETH/USDT, BNB/USDT",3.0,-0.03172261238795142,0.0533893328611906,True
RiskParity,multi_pair,Portfolio[2 assets],90d,90,0.12587288793279494,1.2998179516395272,0.15895801978018662,0.5139405204460966,0,0.0,11258.72887932795,"BTC/USDT, ETH/USDT",2.0,-0.06572224413093859,0.19159513206373352,True
RiskParity,multi_pair,Portfolio[3 assets],90d,90,0.2781414652722271,2.4521026384974247,0.16210850983090822,0.5274163568773235,0,0.0,12781.414652722271,"BTC/USDT, ETH/USDT, BNB/USDT",3.0,-0.06572224413093859,0.3438637094031657,True
RiskParity,multi_pair,Portfolio[2 assets],180d,180,0.7922612745816565,2.7922145015114075,0.17048652819208807,0.5176252319109462,0,0.0,17922.612745816565,"BTC/USDT, ETH/USDT",2.0,0.30865427637442866,0.48360699820722786,True
RiskParity,multi_pair,Portfolio[3 assets],180d,180,0.8214191600163802,3.0804072119375947,0.16568388570581483,0.525278293135436,0,0.0,18214.191600163802,"BTC/USDT, ETH/USDT, BNB/USDT",3.0,0.30865427637442866,0.5127648836419515,True
SMA_Crossover,single_pair,BTC/USDT,30d,30,0.051802266974184746,3.302064575347981,0.04688891452566313,1.0,1,0.0,10518.022669741847,,,-0.03172261238795142,0.08352487936213616,True
SMA_Crossover,single_pair,BTC/USDT,90d,90,0.009827154902657094,0.302378983092925,0.0865530678603702,0.2857142857142857,7,1.141820008711847,10098.271549026571,,,-0.06572224413093859,0.07554939903359568,True
SMA_Crossover,single_pair,BTC/USDT,180d,180,0.1574564519905558,1.4568075805936642,0.12261094266046269,0.46153846153846156,13,2.7942109774338144,11574.564519905558,,,0.30865427637442866,-0.15119782438387286,False
Supertrend_ATR,single_pair,BTC/USDT,30d,30,-0.029475678360483107,-1.835080122331182,0.07760931964979856,0.2222222222222222,9,0.7453516526576238,9705.243216395169,,,-0.03172261238795142,0.0022469340274683114,True
Supertrend_ATR,single_pair,BTC/USDT,90d,90,-0.16232741225263417,-3.570740425072415,0.19148502368256726,0.2413793103448276,29,0.3988005727099663,8376.725877473658,,,-0.06572224413093859,-0.09660516812169558,False
Supertrend_ATR,single_pair,BTC/USDT,180d,180,-0.0028448630822975247,0.09232678286735077,0.20295026137268912,0.3148148148148148,54,0.9946297690195972,9971.551369177025,,,0.30865427637442866,-0.3114991394567262,False
