strategy,symbol,timeframe,horizon,window_id,dataset_type,start_date,end_date,total_return,sharpe_ratio,max_drawdown,win_rate,total_trades,profit_factor,final_capital,cached_at
HierarchicalRiskParity,PORTFOLIO,1h,30d,0,train,2022-10-26 13:00:00,2022-11-25 13:00:00,-0.18886893918794703,-0.03921631980090235,0.2572399646482465,0.0,1,0.0,8111.31060812053,2025-10-25T12:41:32.119616
HierarchicalRiskParity,PORTFOLIO,1h,30d,1,train,2022-11-25 13:00:00,2022-12-25 13:00:00,0.01699447461205382,0.00925986364858802,0.094150539773034,1.0,1,0.0,10169.944746120538,2025-10-25T12:41:35.904522
HierarchicalRiskParity,PORTFOLIO,1h,30d,2,train,2022-12-25 13:00:00,2023-01-24 13:00:00,0.33985262279557027,0.09741707650026438,0.03357419868370359,1.0,1,0.0,13398.526227955703,2025-10-25T12:41:35.929763
HierarchicalRiskParity,PORTFOLIO,1h,30d,3,train,2023-01-24 13:00:00,2023-02-23 13:00:00,0.0463085537240624,0.015613271763381243,0.10756016875534458,1.0,1,0.0,10463.085537240624,2025-10-25T12:41:35.945504
HierarchicalRiskParity,PORTFOLIO,1h,30d,4,train,2023-02-23 13:00:00,2023-03-25 13:00:00,0.13909306004224217,0.031068432334218656,0.1736621699589831,1.0,1,0.0,11390.930600422422,2025-10-25T12:41:41.163733
HierarchicalRiskParity,PORTFOLIO,1h,30d,5,train,2023-03-25 13:00:00,2023-04-24 13:00:00,0.0005480045645486826,0.0022609338036706874,0.11597502758862888,1.0,1,0.0,10005.480045645487,2025-10-25T12:41:43.678086
HierarchicalRiskParity,PORTFOLIO,1h,30d,6,train,2023-04-24 13:00:00,2023-05-24 13:00:00,-0.04199055761868512,-0.0098927307319473,0.11739653946405915,0.0,1,0.0,9580.094423813149,2025-10-25T12:41:43.687155
HierarchicalRiskParity,PORTFOLIO,1h,30d,7,train,2023-05-24 13:00:00,2023-06-23 13:00:00,0.12897247337674309,0.04496410892459252,0.1104908259073537,1.0,1,0.0,11289.72473376743,2025-10-25T12:41:44.340316
HierarchicalRiskParity,PORTFOLIO,1h,30d,8,train,2023-06-23 13:00:00,2023-07-23 13:00:00,-0.007398417730579422,-0.0013839436142224788,0.057791125175045144,0.0,1,0.0,9926.015822694206,2025-10-25T12:41:48.870042
HierarchicalRiskParity,PORTFOLIO,1h,30d,9,train,2023-07-23 13:00:00,2023-08-22 13:00:00,-0.12486345180169338,-0.05859537771818212,0.1386314529950453,0.0,1,0.0,8751.365481983066,2025-10-25T12:41:51.648090
HierarchicalRiskParity,PORTFOLIO,1h,30d,10,train,2023-08-22 13:00:00,2023-09-21 13:00:00,0.013934384049861364,0.006938785958222875,0.10143985753391338,1.0,1,0.0,10139.343840498614,2025-10-25T12:41:52.280399
HierarchicalRiskParity,PORTFOLIO,1h,30d,11,train,2023-09-21 13:00:00,2023-10-21 13:00:00,0.11905658810276364,0.0505451975848964,0.0638596117733452,1.0,1,0.0,11190.565881027636,2025-10-25T12:41:53.045480
HierarchicalRiskParity,PORTFOLIO,1h,30d,0,test,2023-10-26 13:00:00,2023-11-25 13:00:00,0.09694846803251894,0.034049445671059365,0.06618718537097301,1.0,1,0.0,10969.48468032519,2025-10-25T12:41:57.410812
HierarchicalRiskParity,PORTFOLIO,1h,30d,1,test,2023-11-25 13:00:00,2023-12-25 13:00:00,0.1480996252943778,0.04934963470155276,0.08221651588076895,1.0,1,0.0,11480.996252943778,2025-10-25T12:42:01.633857
HierarchicalRiskParity,PORTFOLIO,1h,30d,2,test,2023-12-25 13:00:00,2024-01-24 13:00:00,-0.08139022434051986,-0.01890465811790876,0.1927054295805376,0.0,1,0.0,9186.097756594801,2025-10-25T12:42:01.662512
HierarchicalRiskParity,PORTFOLIO,1h,30d,3,test,2024-01-24 13:00:00,2024-02-23 13:00:00,0.2612735856938878,0.08000348756579635,0.037786977586720005,1.0,1,0.0,12612.735856938878,2025-10-25T12:42:02.086734
