config_id,assets,weights,threshold,method,calendar_days,min_interval_hours,momentum_filter,test_outperformance,test_return,test_sharpe,test_drawdown,test_win_rate,test_consistency,train_outperformance,generalization_gap,splits_tested
1,BTC/USDT|ETH/USDT,0.5000|0.5000,0.1,threshold,30,24,False,0.0,-0.07739014304502952,-0.8599846632714034,-0.20785079589333835,0.0,0.0,0.0,0.0,3
4,BTC/USDT|ETH/USDT,0.6000|0.4000,0.15,threshold,30,24,False,0.0,-0.07511125492855242,-0.826158056256929,-0.20314879271310274,0.0,0.0,0.0,0.0,3
5,BTC/USDT|ETH/USDT|BNB/USDT,0.3300|0.3300|0.3400,0.1,threshold,30,24,False,0.0,-0.07179365841361522,-0.7890423364082361,-0.20013599157251052,0.0,0.0,0.0,0.0,3
6,BTC/USDT|ETH/USDT|BNB/USDT,0.3300|0.3300|0.3400,0.15,threshold,30,24,False,0.0,-0.07179365841361522,-0.7890423364082361,-0.20013599157251052,0.0,0.0,0.0,0.0,3
7,BTC/USDT|ETH/USDT|BNB/USDT,0.5000|0.3000|0.2000,0.1,threshold,30,24,False,0.0,-0.07181920514536755,-0.793714009779543,-0.19843523560451895,0.0,0.0,0.0,0.0,3
8,BTC/USDT|ETH/USDT|BNB/USDT,0.5000|0.3000|0.2000,0.15,threshold,30,24,False,0.0,-0.07181920514536755,-0.793714009779543,-0.19843523560451895,0.0,0.0,0.0,0.0,3
9,BTC/USDT|ETH/USDT|SOL/USDT|BNB/USDT,0.2500|0.2500|0.2500|0.2500,0.1,threshold,30,24,False,0.0,-0.06793513775238917,-0.6706303202904541,-0.2087296846493513,0.0,0.0,0.0,0.0,3
10,BTC/USDT|ETH/USDT|SOL/USDT|BNB/USDT,0.2500|0.2500|0.2500|0.2500,0.15,threshold,30,24,False,0.0,-0.06793513775238917,-0.6706303202904541,-0.2087296846493513,0.0,0.0,0.0,0.0,3
11,BTC/USDT|ETH/USDT|SOL/USDT|BNB/USDT,0.4000|0.3000|0.1500|0.1500,0.1,threshold,30,24,False,0.0,-0.07057769581120694,-0.7309064690463121,-0.20524126710252663,0.0,0.0,0.0,0.0,3
12,BTC/USDT|ETH/USDT|SOL/USDT|BNB/USDT,0.4000|0.3000|0.1500|0.1500,0.15,threshold,30,24,False,0.0,-0.07057769581120694,-0.7309064690463121,-0.20524126710252663,0.0,0.0,0.0,0.0,3
3,BTC/USDT|ETH/USDT,0.6000|0.4000,0.1,threshold,30,24,False,0.0,-0.07511125492855242,-0.826158056256929,-0.20314879271310274,0.0,0.0,0.0,0.0,3
2,BTC/USDT|ETH/USDT,0.5000|0.5000,0.15,threshold,30,24,False,0.0,-0.07739014304502952,-0.8599846632714034,-0.20785079589333835,0.0,0.0,0.0,0.0,3
